Grant Name	Sponsor	Link	Open Date	Deadline	Status
National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering)	Department of Defense	https://www.grants.gov/search-results-detail/334905	07/27/2021		forecasted
STARBASE Wright Patt	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/329806	11/13/2020		forecasted
American Prosperity:  Foreign Investment Readiness Program	U.S. Mission to Jordan	https://www.grants.gov/search-results-detail/360185	07/31/2025	09/01/2025	posted
NSF Small Business Innovation Research / Small Business Technology Transfer Fast-Track Pilot Programs	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/355009	06/18/2024	11/05/2025	posted
Academy for Women Entrepreneurs 2024	U.S. Mission to Zimbabwe	https://www.grants.gov/search-results-detail/350892	11/07/2023		forecasted
NHLBI SBIR Phase IIB Small Market Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 Clinical Trial Optional)	National Institutes of Health	https://www.grants.gov/search-results-detail/357231	11/18/2024	02/26/2027	posted
Small Business Innovation Research and Small Business Technology Transfer Programs Phase II	National Institute of Food and Agriculture	https://www.grants.gov/search-results-detail/360040	07/16/2025	09/23/2025	posted
Small Business Transition Grant for New Entrepreneurs (R43/R44 Clinical Trial Required)	National Institutes of Health	https://www.grants.gov/search-results-detail/353826	04/26/2024	04/05/2027	posted
Small Business Transition Grant for New Entrepreneurs (R41/R42 Clinical Trial Not Allowed)	National Institutes of Health	https://www.grants.gov/search-results-detail/353801	04/25/2024	04/05/2027	posted
Small Business Transition Grant for New Entrepreneurs (R41/R42 Clinical Trial Required)	National Institutes of Health	https://www.grants.gov/search-results-detail/353803	04/25/2024	04/05/2027	posted
Small Business Transition Grant for New Entrepreneurs (R43/R44 Clinical Trial Not Allowed)	National Institutes of Health	https://www.grants.gov/search-results-detail/353791	04/25/2024	04/05/2027	posted
NSF Small Business Innovation Research / Small Business Technology Transfer Phase I Programs	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/354632	05/31/2024	11/05/2025	posted
NSF Small Business Innovation Research  / Small Business Technology Transfer Phase II Programs	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/354633	05/31/2024	11/05/2025	posted
Dairy Business Innovation Initiatives Program (DBI) Fiscal Year 2025	Agricultural Marketing Service	https://www.grants.gov/search-results-detail/360013	07/14/2025	09/09/2025	posted
Supplemental Opportunity for SBIR/STTR Memberships in I/UCRCs	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/50283	11/18/2009		posted
EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC) 	National Aeronautics and Space Administration	https://www.grants.gov/search-results-detail/300997	02/22/2018		posted
U.S. Embassy Praia Ambassador&rsquo;s Special Self-Help (SSH) Program	U.S. Mission to Cape Verde	https://www.grants.gov/search-results-detail/325599	03/19/2020		posted
NSF Scholarships in Science, Technology, Engineering, and Mathematics Program	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/357498	12/03/2024	03/03/2026	posted
NIH, CDC and FDA Small Business Innovation Research Grant (Parent SBIR [R43/R44] Clinical Trial Not Allowed)	National Institutes of Health	https://www.grants.gov/search-results-detail/359671	06/18/2025		forecasted
NIH Small Business Technology Transfer Grant (Parent STTR [R41/R42] Clinical Trial Not Allowed)	National Institutes of Health	https://www.grants.gov/search-results-detail/359757	06/18/2025		forecasted
NIH and CDC Small Business Innovation Research Grant (Parent SBIR [R43/R44] Clinical Trial Required)	National Institutes of Health	https://www.grants.gov/search-results-detail/359758	06/18/2025		forecasted
NIH Small Business Technology Transfer Grant (Parent STTR [R41/R42] Clinical Trial Required)	National Institutes of Health	https://www.grants.gov/search-results-detail/359670	06/10/2025		forecasted
NINDS Exploratory Clinical Trials for Small Business (R41/R42 Clinical Trial Required)	National Institutes of Health	https://www.grants.gov/search-results-detail/351150	11/27/2023	09/05/2026	posted
NINDS Exploratory Clinical Trials for Small Business (R43/R44 Clinical Trial Required)	National Institutes of Health	https://www.grants.gov/search-results-detail/351149	11/27/2023	09/05/2026	posted
NRL Long Range Broad Agency Announcement (BAA) for Basic and Applied Research	Naval Research Laboratory	https://www.grants.gov/search-results-detail/352741	03/01/2024	09/30/2025	posted
Promote Transparency by Enhancing Citizens&rsquo; Access to Information on Public Revenues.	U.S. Mission to Mauritania	https://www.grants.gov/search-results-detail/360246	08/06/2025	09/08/2025	posted
Annual Program Statement (APS) for Fiscal Year 2025	U.S. Mission to Tunisia	https://www.grants.gov/search-results-detail/359120	06/02/2025		forecasted
Research and Development (RAD) Directed Energy (RD) University Assistance Instruments	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/355499	07/18/2024	07/18/2029	posted
Naval Engineering Education Consortium (NEEC) Broad Agency Announcement for Fiscal Year 2026	NSWC Dahlgren	https://www.grants.gov/search-results-detail/360183	07/30/2025		forecasted
U.S. Embassy Buenos Aires PAS Strategic Programs	U.S. Mission to Argentina	https://www.grants.gov/search-results-detail/358695	04/17/2025		forecasted
Innovations for Healthy Living - Improving Minority Health and Eliminating Health Disparities (R43/R44 - Clinical Trial Optional)	National Institutes of Health	https://www.grants.gov/search-results-detail/352882	03/08/2024	12/09/2026	posted
Technologies for Improving Minority Health and Eliminating Health Disparities (R41/R42- Clinical Trial Optional)	National Institutes of Health	https://www.grants.gov/search-results-detail/352883	03/08/2024	12/09/2026	posted
SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance and Late Stage Development (SB1, Clinical Trial Not Allowed)	National Institutes of Health	https://www.grants.gov/search-results-detail/349231	07/12/2023	09/05/2025	posted
SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance and Late Stage Development (SB1 Clinical Trial Required)	National Institutes of Health	https://www.grants.gov/search-results-detail/349235	07/12/2023	09/05/2025	posted
Community Economic Development Projects	Administration for Children and Families - OCS	https://www.grants.gov/search-results-detail/355604	07/24/2024		forecasted
NIAID SBIR Phase II Clinical Trial Implementation Cooperative Agreement (U44 Clinical Trial Required)	National Institutes of Health	https://www.grants.gov/search-results-detail/352061	01/29/2024	01/13/2027	posted
U.S. Embassy Djibouti PDS Annual Program Statement	U.S. Mission to Djibouti	https://www.grants.gov/search-results-detail/352290	02/11/2024		forecasted
NHLBI SBIR Phase IIB Bridge Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 Clinical Trial Optional)	National Institutes of Health	https://www.grants.gov/search-results-detail/357230	11/18/2024	02/26/2027	posted
Forecast to Publish a Notice of Funding Opportunity for SBIR Phase IIB Bridge Awards to Accelerate the Development of Cancer-Relevant Technologies Toward Commercialization (R44 Clinical Trial Optional)	National Institutes of Health	https://www.grants.gov/search-results-detail/359726	06/16/2025		forecasted
U.S. Embassy Lusaka Public Diplomacy Section Annual Program Statement	U.S. Mission to Zambia	https://www.grants.gov/search-results-detail/358884	05/10/2025		forecasted
NIEHS Worker Training Program&rsquo;s SBIR E-Learning for HAZMAT and Emergency Response (R43/R44 Clinical Trial Not Allowed)	National Institutes of Health	https://www.grants.gov/search-results-detail/358912	05/21/2025		forecasted
SBIR/STTR Commercialization Readiness Pilot (CRP) Program (Parent SB1 Clinical Trial Required)	National Institutes of Health	https://www.grants.gov/search-results-detail/359668	06/18/2025		forecasted
SBIR/STTR Commercialization Readiness Pilot (CRP) Program (Parent SB1 Clinical Trial Not Allowed)	National Institutes of Health	https://www.grants.gov/search-results-detail/359669	06/10/2025		forecasted
Science of Organizations	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/112354	08/08/2011		posted
Pathways to Enable Open-Source Ecosystems	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/356423	09/14/2024	09/02/2025	posted
NINDS Renewal Awards of SBIR Phase II Grants (Phase IIB) for Clinical Trials and Clinical Research (R44 Clinical Trial Optional)	National Institutes of Health	https://www.grants.gov/search-results-detail/355039	06/20/2024	04/05/2027	posted
Alumni Engagement Innovation Fund 2024	U.S. Mission to Latvia	https://www.grants.gov/search-results-detail/350831	11/02/2023		forecasted
Test Bed: Toward a Network of Programmable Cloud Laboratories	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/360244	08/05/2025	11/20/2025	posted
PHS 2024-2 Omnibus Solicitation of the NIH, CDC and FDA for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Not Allowed)	National Institutes of Health	https://www.grants.gov/search-results-detail/355265	07/03/2024	09/05/2025	posted
PHS 2024-2 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42] Clinical Trial Not Allowed)	National Institutes of Health	https://www.grants.gov/search-results-detail/355259	07/03/2024	09/05/2025	posted
