Rank,Grant Name,Sponsor,Link,Deadline,Award Max,Match %,Internal Status,Relevance,EQORE Fit,Ease of Use,Weighted Score,Rationale
1,NSF SBIR/STTR Phase I (NSF 24-579),National Science Foundation,https://www.nsf.gov/funding/opportunities/sbirsttr-phase-i-nsf-small-business-innovation-research-small-business/nsf24-579/solicitation,2025-11-05,305000.0,0%,Review,5,4,3,12.0,Core federal R&D for controls/BTM
2,CHOIR (Coordinated Holistic Orchestration of IBRs),California Energy Commission (EPIC),https://www.energy.ca.gov/solicitations/2025-12/coordinated-holistic-orchestration-inverter-based-resources-choir,Anticipated Q4-2025,7240000.0,50%,Discovered,5,5,3,15.0,Flagship CA IBR/VPP orchestration
3,GFO-24-312 Advanced Grid Technology Acceleration,California Energy Commission,https://www.energy.ca.gov/solicitations/2025-06/gfo-24-312-advanced-grid-technology-acceleration-projects,2025-10-17,12000000.0,30%,Prioritized,5,4,2,8.0,CA grid-tech demos; tight timeline/match
4,Improving Net-Load Forecasting w/ BtM Data,California Energy Commission (EPIC),https://www.energy.ca.gov/solicitations/2025-08/improving-load-net-forecasting-models-integrating-data-behind-meter-resources,Anticipated Aug–Oct 2025,3000000.0,TBD,Discovered,3,4,3,7.2,Direct to BtM/VPP modeling
5,"NSF Translation to Practice (TTP, 25-540)",National Science Foundation,https://www.nsf.gov/funding/opportunities/translation-practice-ttp/nsf25-540/solicitation,2025-09-16,1000000.0,0%,Researching,3,4,3,7.2,Prototype→pilot for community systems
6,MassCEC AmplifyMass (Rolling),Massachusetts Clean Energy Center,https://www.masscec.com/program/amplifymass,Rolling thru 2026,300000.0,Var.,Researching,3,4,4,9.6,Stacks with federal/CEC awards
7,NSF S&CC Development Grants (25-527),National Science Foundation,https://www.nsf.gov/funding/opportunities/scc-smart-connected-communities/nsf25-527/solicitation,2025-09-08,150000.0,0%,Researching,3,3,3,5.4,Seed for community VPP pilots
8,NSF S&CC IRG (25-527),National Science Foundation,https://www.nsf.gov/funding/opportunities/scc-smart-connected-communities/nsf25-527/solicitation,2025-09-08,1500000.0,0%,Researching,3,3,2,3.6,Larger research + pilot validation
9,NSF S&CC LSR (25-527),National Science Foundation,https://www.nsf.gov/funding/opportunities/scc-smart-connected-communities/nsf25-527/solicitation,2025-09-08,5000000.0,0%,Researching,3,2,2,2.4,Ambitious scale; heavy lift
10,NSF Future CoRe: CPS (25-543),National Science Foundation,https://new.nsf.gov/funding/opportunities/future-core/cyber-physical-systems-cps/nsf25-543/solicitation,2025-09-11,,0%,Researching,3,3,3,5.4,Grid-aware CPS for DER/VPP
11,ARPA‑E SPARKS (DE‑FOA‑0003164),U.S. DOE ARPA‑E,https://grants.gov/search-results-detail/350952,2029-09-30,500000.0,0%,Prioritized,3,3,3,5.4,Flexible concept path for VPP/BTM
12,DOE Office of Science FA Program (DE‑FOA‑0003432),U.S. DOE Office of Science,https://science.osti.gov/fes/-/media/grants/pdf/foas/2024/DE-FOA-0003432-000002.pdf,2025-09-30,5000000.0,0%,Reviewed,1,2,2,0.8,Mostly research; niche applicability
13,EDA FY25 Disaster Supplemental,U.S. Economic Development Administration,https://www.grants.gov/search-results-detail/359225,Rolling to 2026,50000000.0,0–20%,Prioritized,3,2,3,3.6,Fund resilience projects via partners
14,LBE Decarbonization Implementation Grants,MA DOER – Leading by Example,https://www.mass.gov/info-details/leading-by-example-decarbonization-implementation-grant-program,Rolling thru 2027,,0%,Researching,3,3,3,5.4,Municipal sites w/ storage potential
15,NSF VINES – Track 2 (25‑539),National Science Foundation,https://www.nsf.gov/funding/opportunities/vines-verticals-enabling-intelligent-network-systems/nsf25-539/solicitation,2025-09-25,6000000.0,0%,Time‑critical,3,3,2,3.6,NextG networking for VPP comms
16,NSF Infrastructure Systems & People (PD‑25‑342Y),National Science Foundation,https://grants.gov/search-results-detail/358397,Rolling,,0%,Researching,3,3,3,5.4,Socio‑technical infra incl. grid/DER
17,DOE Building Technologies Office (BTO) FOA (2025),U.S. DOE – EERE BTO,https://www.energy.gov/eere/buildings/building-technologies-office,Anticipated 2025,,Var.,Discovered,4,3,3,7.2,Demand flexibility / DER in buildings
18,DOE Solar Energy Technologies Office (SETO) FOA (2025),U.S. DOE – EERE SETO,https://www.energy.gov/eere/solar/solar-energy-technologies-office,Anticipated 2025,,Var.,Discovered,3,3,3,5.4,PV+storage orchestration pilots
19,DOE Vehicle Technologies Office (VTO) FOA (2025),U.S. DOE – EERE VTO,https://www.energy.gov/eere/vehicles/vehicle-technologies-office,Anticipated 2025,,20%+,Discovered,3,2,2,2.4,EV‑grid overlap with VPP controls
20,FEMA Hazard Mitigation Grant Program (HMGP),Federal Emergency Management Agency,https://www.fema.gov/grants/mitigation/hazard-mitigation,Rolling,,25%,Researching,3,2,2,2.4,Storage for resilience in muni sites
